sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
ERR247156	None	Level 2	0.8-1.8-0.4-1.7-0.6-0.5	9.8E-03	6.8E-02	1.9E-02	6.4E-01	8.6E-02	1.7E-01	2.1E+03
ERR247174	None	Level 2	1.2-0.8-0.0-1.6-1.4-0.3	1.5E-02	3.1E-02	2.1E-04	6.1E-01	2.2E-01	1.2E-01	8.0E+02
ERR247167	None	Level 2	2.5-0.0-0.3-0.9-2.5-0.6	3.2E-02	1.8E-04	1.3E-02	3.6E-01	3.8E-01	2.2E-01	4.6E+02
ERR247157	None	Level 1	4.9-1.5-0.0-0.8-2.5-0.5	6.1E-02	5.7E-02	5.3E-04	3.3E-01	3.9E-01	1.7E-01	4.0E+02
ERR247169	None	Level 2	1.7-1.9-0.7-1.4-1.1-0.5	2.1E-02	7.3E-02	3.2E-02	5.2E-01	1.6E-01	1.9E-01	1.1E+03
ERR247163	None	Level 1	3.9-1.2-0.2-1.3-1.6-0.4	4.9E-02	4.7E-02	1.1E-02	5.0E-01	2.5E-01	1.5E-01	1.0E+03
ERR247164	None	Level 1	3.4-2.0-0.2-0.8-2.2-0.6	4.3E-02	7.6E-02	1.1E-02	3.0E-01	3.4E-01	2.3E-01	7.9E+02
ERR247176	None	Level 1	4.9-1.1-0.0-1.0-2.6-0.3	6.1E-02	4.2E-02	1.6E-03	3.9E-01	4.0E-01	1.1E-01	5.1E+02
ERR247144	None	Level 1	4.7-0.9-0.0-0.7-2.9-0.6	5.9E-02	3.6E-02	7.2E-04	2.5E-01	4.5E-01	2.0E-01	2.8E+02
ERR247175	None	Level 1	4.2-0.0-0.0-1.0-2.4-0.5	5.3E-02	1.5E-03	2.5E-04	3.9E-01	3.8E-01	1.8E-01	4.6E+02
ERR247149	None	Level 2	1.8-2.0-0.4-2.0-0.5-0.1	2.3E-02	7.7E-02	1.8E-02	7.7E-01	7.6E-02	4.0E-02	2.0E+03
ERR247160	None	Level 1	3.0-1.2-0.2-1.7-1.2-0.2	3.8E-02	4.7E-02	1.0E-02	6.5E-01	1.9E-01	6.3E-02	8.4E+02
