sampleID	Metadata	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	Rank_V	ARGs_unranked	Total_abu
ag0005	None	Level 3	0.0-0.0-0.0-1.1-2.6-0.5	5.4E-04	9.5E-05	0.0E+00	4.3E-01	4.0E-01	1.7E-01	5.6E+02
di0001	None	Level 3	0.3-0.0-0.0-0.9-3.7-0.2	3.8E-03	0.0E+00	8.9E-05	3.6E-01	5.7E-01	5.9E-02	4.9E+02
dl0001	None	Level 2	1.0-0.2-0.0-0.9-3.1-0.5	1.3E-02	7.3E-03	0.0E+00	3.3E-01	4.8E-01	1.7E-01	3.2E+02
ae0001	None	Level 3	0.0-0.0-0.0-1.6-1.7-0.3	3.1E-04	6.7E-04	0.0E+00	6.3E-01	2.6E-01	1.0E-01	2.5E+02
cr0043	None	Level 2	1.2-0.0-0.0-0.5-4.4-0.3	1.5E-02	2.7E-04	1.3E-03	2.1E-01	6.7E-01	9.9E-02	2.8E+02
df0001	None	Level 3	0.2-0.0-0.0-1.6-1.6-0.4	3.1E-03	5.1E-04	0.0E+00	6.2E-01	2.5E-01	1.3E-01	2.6E+02
dg0001	None	Level 3	0.1-0.0-0.0-1.1-2.6-0.5	9.4E-04	0.0E+00	0.0E+00	4.1E-01	4.0E-01	1.8E-01	2.2E+02
dh0001	None	Level 2	0.6-0.1-0.0-1.1-2.9-0.3	7.7E-03	2.8E-03	2.1E-03	4.4E-01	4.5E-01	9.4E-02	1.3E+02
cw0053	None	Level 3	0.4-0.0-0.0-1.1-3.3-0.2	4.8E-03	0.0E+00	1.1E-04	4.0E-01	5.1E-01	8.6E-02	3.8E+02
cv0001	None	Level 3	0.1-0.0-0.0-1.4-2.2-0.4	1.3E-03	0.0E+00	0.0E+00	5.3E-01	3.4E-01	1.4E-01	6.6E+02
