sampleID	eco_type	eco_subtype	eco_note	sampleID2	Level	Rank_code	Rank_I	Rank_II	Rank_III	Rank_IV	ARGs_unranked	Total_abu
SRR1586257	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586257	Level 5	0.0-1.0-1.2-2.0-0.4	0.0E+00	8.3E-02	4.8E-01	3.1E-01	1.3E-01	2.1E-01
SRR1586258	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586258	Level 4	0.0-0.8-1.5-1.9-0.2	3.0E-04	6.9E-02	5.8E-01	2.9E-01	5.8E-02	4.8E-01
SRR1586259	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586259	Level 4	0.0-0.5-1.4-2.3-0.1	3.9E-04	4.2E-02	5.4E-01	3.7E-01	5.0E-02	3.5E-01
SRR1586260	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586260	Level 4	0.1-0.4-1.2-2.7-0.2	9.4E-04	3.6E-02	4.8E-01	4.3E-01	5.3E-02	2.1E-01
SRR1586261	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586261	Level 4	0.0-1.1-1.5-1.7-0.2	2.9E-04	9.2E-02	5.9E-01	2.6E-01	5.8E-02	5.0E-01
SRR1586262	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586262	Level 4	0.0-0.7-1.3-2.2-0.2	7.2E-04	5.6E-02	5.3E-01	3.4E-01	7.3E-02	3.4E-01
SRR1586263	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586263	Level 5	0.0-0.4-1.3-2.7-0.1	0.0E+00	3.6E-02	5.2E-01	4.2E-01	2.9E-02	2.7E-01
SRR1586264	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586264	Level 4	0.1-1.1-1.1-2.3-0.3	1.2E-03	9.1E-02	4.5E-01	3.7E-01	9.1E-02	2.3E-01
SRR1586265	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586265	Level 4	0.1-0.7-1.5-1.9-0.1	9.8E-04	6.0E-02	6.1E-01	3.0E-01	3.5E-02	4.8E-01
SRR1586266	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586266	Level 4	0.0-0.7-1.3-2.5-0.2	7.4E-04	5.9E-02	4.9E-01	3.9E-01	6.2E-02	3.0E-01
SRR1586267	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586267	Level 4	0.0-1.0-1.1-2.5-0.3	1.1E-04	8.5E-02	4.2E-01	4.0E-01	9.8E-02	3.3E-01
SRR1586268	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586268	Level 4	0.0-0.8-1.4-2.0-0.1	4.0E-04	6.6E-02	5.6E-01	3.2E-01	5.2E-02	4.7E-01
SRR1586269	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586269	Level 5	0.0-0.7-1.3-2.5-0.2	0.0E+00	5.7E-02	5.0E-01	3.9E-01	5.3E-02	3.2E-01
SRR1586270	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586270	Level 5	0.0-0.8-1.0-1.5-0.9	0.0E+00	6.5E-02	3.9E-01	2.4E-01	3.1E-01	5.3E-01
SRR1586271	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586271	Level 5	0.0-0.9-1.5-1.9-0.1	0.0E+00	7.7E-02	5.7E-01	3.0E-01	5.1E-02	5.5E-01
SRR1586272	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586272	Level 4	0.1-0.6-1.2-2.7-0.1	9.3E-04	4.7E-02	4.9E-01	4.2E-01	3.8E-02	3.5E-01
SRR1586273	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586273	Level 4	0.1-1.5-1.2-2.2-0.2	2.2E-03	1.2E-01	4.6E-01	3.4E-01	7.9E-02	2.8E-01
SRR1586274	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586274	Level 5	0.0-1.1-1.6-1.7-0.1	0.0E+00	9.1E-02	6.1E-01	2.6E-01	3.9E-02	5.4E-01
SRR1586275	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586275	Level 4	0.0-0.4-0.9-1.4-1.1	2.5E-04	3.3E-02	3.5E-01	2.2E-01	3.9E-01	5.9E-01
SRR1586276	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586276	Level 4	0.0-1.2-1.1-2.2-0.3	9.1E-05	9.8E-02	4.5E-01	3.5E-01	1.1E-01	3.6E-01
SRR1586277	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586277	Level 5	0.0-0.8-1.5-2.0-0.1	0.0E+00	6.7E-02	5.7E-01	3.2E-01	4.3E-02	5.3E-01
SRR1586278	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586278	Level 4	0.0-0.7-1.4-2.2-0.1	1.7E-04	5.9E-02	5.5E-01	3.4E-01	5.1E-02	6.2E-01
SRR1586279	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586279	Level 3	0.5-0.9-1.2-2.3-0.3	8.7E-03	7.3E-02	4.6E-01	3.7E-01	9.3E-02	3.4E-01
SRR1586280	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586280	Level 4	0.0-0.8-1.5-2.0-0.1	1.0E-04	6.8E-02	5.8E-01	3.1E-01	4.2E-02	7.4E-01
SRR1586281	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586281	Level 5	0.0-0.8-1.3-2.2-0.2	0.0E+00	6.3E-02	5.3E-01	3.5E-01	5.8E-02	5.6E-01
SRR1586282	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586282	Level 4	0.1-0.9-1.3-2.3-0.2	8.9E-04	7.0E-02	5.0E-01	3.7E-01	6.3E-02	4.7E-01
SRR1586283	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586283	Level 5	0.0-1.1-1.4-1.9-0.2	0.0E+00	8.7E-02	5.5E-01	3.0E-01	5.7E-02	5.4E-01
SRR1586284	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586284	Level 5	0.0-0.9-1.4-2.0-0.2	0.0E+00	7.0E-02	5.5E-01	3.2E-01	6.2E-02	4.6E-01
SRR1586285	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586285	Level 5	0.0-0.8-1.3-2.4-0.1	0.0E+00	6.5E-02	5.1E-01	3.7E-01	5.2E-02	4.6E-01
SRR1586286	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586286	Level 5	0.0-1.9-1.0-2.1-0.3	0.0E+00	1.5E-01	4.0E-01	3.3E-01	1.2E-01	5.3E-01
SRR1586287	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586287	Level 4	0.0-0.8-1.4-2.1-0.1	1.8E-04	6.9E-02	5.5E-01	3.3E-01	4.4E-02	5.6E-01
SRR1586288	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586288	Level 5	0.0-1.0-1.4-2.3-0.1	0.0E+00	7.8E-02	5.4E-01	3.6E-01	3.0E-02	4.5E-01
SRR1586289	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586289	Level 4	0.0-0.7-1.3-2.6-0.1	3.5E-04	5.6E-02	5.1E-01	4.0E-01	3.3E-02	3.6E-01
SRR1586290	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586290	Level 5	0.0-0.8-1.3-2.3-0.2	0.0E+00	6.3E-02	5.2E-01	3.6E-01	5.9E-02	5.6E-01
SRR1586291	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586291	Level 4	0.0-1.0-1.4-2.0-0.1	3.8E-04	8.2E-02	5.6E-01	3.2E-01	4.1E-02	6.6E-01
SRR1586292	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586292	Level 5	0.0-0.7-1.3-2.5-0.1	0.0E+00	5.3E-02	5.2E-01	3.9E-01	4.0E-02	5.3E-01
SRR1586293	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586293	Level 4	0.0-0.6-1.2-2.8-0.1	4.0E-04	4.9E-02	4.7E-01	4.4E-01	4.0E-02	5.2E-01
SRR1586294	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586294	Level 4	0.0-0.6-1.2-2.9-0.1	4.0E-04	4.9E-02	4.6E-01	4.5E-01	3.5E-02	8.0E-01
SRR1586295	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586295	Level 4	0.0-0.9-1.5-2.0-0.1	3.1E-04	7.3E-02	5.8E-01	3.1E-01	3.6E-02	7.3E-01
SRR1586296	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586296	Level 4	0.0-0.7-1.3-2.4-0.2	3.9E-04	5.8E-02	5.1E-01	3.8E-01	5.8E-02	6.2E-01
SRR1586297	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586297	Level 4	0.0-0.7-1.2-2.8-0.1	5.2E-04	5.8E-02	4.7E-01	4.3E-01	3.7E-02	3.6E-01
SRR1586298	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586298	Level 4	0.1-0.8-1.0-3.2-0.2	1.1E-03	6.5E-02	3.8E-01	5.0E-01	5.3E-02	5.1E-01
SRR1586299	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586299	Level 5	0.0-0.9-1.5-1.9-0.2	0.0E+00	7.3E-02	5.7E-01	3.0E-01	5.9E-02	5.0E-01
SRR1586300	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586300	Level 5	0.0-0.8-1.3-2.5-0.1	0.0E+00	6.3E-02	5.0E-01	3.9E-01	4.9E-02	4.3E-01
SRR1586301	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586301	Level 4	0.2-1.3-1.1-2.1-0.4	3.9E-03	1.1E-01	4.2E-01	3.2E-01	1.4E-01	3.3E-01
SRR1586302	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586302	Level 5	0.0-1.0-1.4-1.9-0.2	0.0E+00	8.1E-02	5.5E-01	2.9E-01	7.2E-02	4.9E-01
SRR1586303	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586303	Level 5	0.0-0.7-1.4-2.2-0.1	0.0E+00	5.6E-02	5.6E-01	3.5E-01	3.2E-02	6.2E-01
SRR1586304	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586304	Level 4	0.1-0.6-1.2-2.9-0.1	1.5E-03	5.2E-02	4.6E-01	4.6E-01	3.5E-02	3.6E-01
SRR1586305	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586305	Level 5	0.0-0.7-1.1-2.7-0.2	0.0E+00	5.4E-02	4.4E-01	4.3E-01	8.1E-02	3.2E-01
SRR1586306	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586306	Level 5	0.0-0.8-1.5-2.0-0.1	0.0E+00	6.3E-02	5.8E-01	3.1E-01	3.9E-02	5.4E-01
SRR1586307	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586307	Level 4	0.1-0.6-1.4-2.1-0.1	2.5E-03	5.2E-02	5.6E-01	3.4E-01	4.6E-02	5.6E-01
SRR1586308	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586308	Level 4	0.1-0.7-1.2-2.7-0.1	1.2E-03	6.1E-02	4.8E-01	4.2E-01	4.2E-02	4.4E-01
SRR1586309	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586309	Level 5	0.0-0.8-1.3-2.2-0.2	0.0E+00	6.3E-02	5.3E-01	3.5E-01	6.0E-02	3.2E-01
SRR1586310	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586310	Level 4	0.0-0.8-1.4-2.1-0.1	2.9E-04	6.4E-02	5.6E-01	3.3E-01	4.1E-02	4.5E-01
SRR1586311	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586311	Level 4	0.0-0.8-1.3-2.4-0.2	4.4E-04	6.6E-02	5.0E-01	3.8E-01	5.6E-02	4.2E-01
SRR1586312	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586312	Level 5	0.0-1.9-0.9-2.0-0.5	0.0E+00	1.6E-01	3.6E-01	3.1E-01	1.7E-01	4.6E-01
SRR1586313	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586313	Level 4	0.0-2.8-0.8-1.4-0.6	0.0E+00	2.3E-01	3.3E-01	2.3E-01	2.2E-01	4.5E-01
SRR1586314	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586314	Level 5	0.0-0.9-1.5-1.9-0.1	0.0E+00	7.8E-02	5.8E-01	3.0E-01	4.4E-02	5.2E-01
SRR1586315	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586315	Level 5	0.0-0.9-1.4-2.2-0.1	0.0E+00	7.1E-02	5.4E-01	3.4E-01	4.4E-02	5.1E-01
SRR1586316	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586316	Level 5	0.0-0.8-1.3-2.4-0.1	0.0E+00	6.4E-02	5.2E-01	3.7E-01	4.2E-02	4.3E-01
SRR1586317	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586317	Level 5	0.0-0.8-1.2-2.3-0.3	0.0E+00	6.8E-02	4.8E-01	3.7E-01	8.8E-02	3.4E-01
SRR1586318	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586318	Level 4	0.0-0.9-1.4-2.0-0.1	5.4E-04	7.6E-02	5.5E-01	3.2E-01	5.1E-02	4.1E-01
SRR1586319	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586319	Level 4	0.0-1.2-1.1-2.5-0.3	1.9E-04	9.8E-02	4.2E-01	3.9E-01	9.5E-02	2.5E-01
SRR1586320	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586320	Level 5	0.0-1.4-1.1-2.4-0.2	0.0E+00	1.1E-01	4.4E-01	3.7E-01	7.3E-02	2.7E-01
SRR1586321	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586321	Level 5	0.0-1.2-1.1-2.5-0.2	0.0E+00	1.0E-01	4.5E-01	3.9E-01	6.5E-02	2.5E-01
SRR1586322	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586322	Level 4	0.0-1.0-1.4-2.0-0.2	3.1E-04	8.4E-02	5.5E-01	3.1E-01	5.9E-02	4.6E-01
SRR1586323	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586323	Level 4	0.0-0.7-1.4-2.2-0.1	2.1E-04	6.1E-02	5.4E-01	3.4E-01	5.0E-02	3.9E-01
SRR1586324	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586324	Level 5	0.0-0.7-1.3-2.6-0.1	0.0E+00	6.0E-02	4.9E-01	4.0E-01	4.4E-02	2.3E-01
SRR1586325	natural_permafrost	natural_permafrost	tundrabiomeCanada:AxelHeibergIsland,Nunavutpermafrost	SRR1586325	Level 4	0.0-2.0-1.0-1.7-0.5	1.4E-04	1.6E-01	4.1E-01	2.6E-01	1.7E-01	3.1E-01
SRR1653578	natural_permafrost	natural_permafrost	permafrosttundraalluvialsediment	SRR1653578	Level 5	0.0-1.2-1.6-1.4-0.2	0.0E+00	9.6E-02	6.2E-01	2.2E-01	6.6E-02	4.2E-01
SRR1653579	natural_permafrost	natural_permafrost	permafrosttundraalluvialsediment	SRR1653579	Level 5	0.0-1.2-1.2-2.6-0.1	0.0E+00	9.8E-02	4.7E-01	4.2E-01	2.1E-02	7.1E-01
SRR3948021	natural_permafrost	natural_permafrost	Spirosomaluteumstrainsfrompermafrostsoil	SRR3948021	Level 4	0.0-4.0-0.4-0.7-1.1	0.0E+00	3.3E-01	1.6E-01	1.1E-01	4.0E-01	3.3E-02
SRR3948023	natural_permafrost	natural_permafrost	Spirosomaluteumstrainsfrompermafrostsoil	SRR3948023	Level 5	0.0-0.8-1.9-0.8-0.2	0.0E+00	6.3E-02	7.3E-01	1.3E-01	8.4E-02	5.1E-02
SRR3986811	natural_permafrost	natural_permafrost	Colddesertpermafrostsoil	SRR3986811	Level 5	0.0-0.9-0.8-3.0-0.4	0.0E+00	7.3E-02	3.1E-01	4.8E-01	1.4E-01	9.1E-02
SRR4026047	natural_permafrost	natural_permafrost	natural_permafrost	SRR4026047	Level 4	0.0-4.9-0.4-1.3-0.7	0.0E+00	4.0E-01	1.5E-01	2.1E-01	2.4E-01	2.7E-01
SRR4026048	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026048	Level 5	0.0-1.8-1.5-1.8-0.0	0.0E+00	1.5E-01	5.8E-01	2.8E-01	0.0E+00	8.5E-02
SRR4026049	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026049	Level 5	0.0-0.0-0.3-2.6-1.3	0.0E+00	0.0E+00	1.3E-01	4.1E-01	4.6E-01	2.5E-01
SRR4026050	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026050	Level 5	0.0-2.2-1.1-2.0-0.2	0.0E+00	1.8E-01	4.3E-01	3.1E-01	8.3E-02	1.8E-01
SRR4026051	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026051	Level 4	0.0-2.5-1.5-1.1-0.1	0.0E+00	2.1E-01	5.9E-01	1.8E-01	2.8E-02	1.6E-01
SRR4026052	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026052	Level 5	0.0-0.3-1.3-1.8-0.5	0.0E+00	2.8E-02	5.2E-01	2.8E-01	1.7E-01	1.5E-01
SRR4026053	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026053	Level 5	0.0-0.0-1.4-2.9-0.0	0.0E+00	0.0E+00	5.4E-01	4.6E-01	0.0E+00	3.9E-01
SRR4026054	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026054	Level 5	0.0-2.0-1.5-1.5-0.1	0.0E+00	1.6E-01	5.8E-01	2.3E-01	2.5E-02	1.1E-01
SRR4026055	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026055	Level 5	0.0-1.4-0.9-2.0-0.6	0.0E+00	1.1E-01	3.7E-01	3.1E-01	2.1E-01	1.2E-01
SRR4026056	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026056	Level 5	0.0-0.0-1.8-0.6-0.5	0.0E+00	0.0E+00	7.2E-01	9.7E-02	1.8E-01	2.2E-01
SRR4026057	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026057	Level 5	0.0-1.1-1.4-2.3-0.1	0.0E+00	8.6E-02	5.3E-01	3.5E-01	2.6E-02	1.3E-01
SRR4026058	natural_permafrost	natural_permafrost	AlaskaUSApermafrost	SRR4026058	Level 5	0.0-1.3-1.4-2.2-0.0	0.0E+00	1.1E-01	5.4E-01	3.5E-01	0.0E+00	2.9E-01
SRR4027934	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027934	Level 5	0.0-1.3-1.4-1.9-0.2	0.0E+00	1.0E-01	5.3E-01	3.0E-01	6.1E-02	1.9E-01
SRR4027935	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027935	Level 5	0.0-1.1-1.3-2.0-0.2	0.0E+00	9.1E-02	5.1E-01	3.2E-01	8.0E-02	3.5E-01
SRR4027936	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027936	Level 4	0.0-1.7-1.4-1.9-0.1	5.7E-04	1.4E-01	5.4E-01	2.9E-01	2.3E-02	2.2E-01
SRR4027937	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027937	Level 5	0.0-1.4-1.4-2.0-0.1	0.0E+00	1.1E-01	5.4E-01	3.1E-01	3.6E-02	2.2E-01
SRR4027950	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027950	Level 5	0.0-2.3-1.4-1.4-0.1	0.0E+00	1.9E-01	5.4E-01	2.2E-01	4.9E-02	3.3E-01
SRR4027951	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027951	Level 5	0.0-1.0-1.5-1.7-0.2	0.0E+00	8.2E-02	5.9E-01	2.7E-01	5.8E-02	3.3E-01
SRR4027952	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027952	Level 5	0.0-1.5-1.5-1.6-0.1	0.0E+00	1.2E-01	5.9E-01	2.5E-01	4.1E-02	2.8E-01
SRR4027953	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR4027953	Level 5	0.0-1.3-1.5-1.8-0.1	0.0E+00	1.1E-01	5.8E-01	2.8E-01	3.5E-02	3.3E-01
SRR4063397	natural_permafrost	natural_permafrost	HymenobacterpsychrotoleransstrainsfromChinaBeiluriverbasinQinghai--TibetPlateaupermafrostisolates	SRR4063397	Level 5	0.0-1.7-0.8-1.6-0.8	0.0E+00	1.4E-01	3.1E-01	2.6E-01	3.0E-01	1.0E-02
SRR5009556	natural_permafrost	natural_permafrost	BonanzaCreekAlaskapermafrost	SRR5009556	Level 4	0.1-1.2-1.3-1.9-0.2	1.4E-03	9.5E-02	5.2E-01	3.0E-01	7.7E-02	5.0E-01
SRR5413293	natural_permafrost	natural_permafrost	PsychrobactercryohalolentisstrainsfromRussiaKolymaLowlandsSiberiapermafrost	SRR5413293	Level 4	0.1-0.3-0.9-3.8-0.0	2.0E-03	2.3E-02	3.7E-01	5.9E-01	1.6E-02	5.6E-01
SRR5450431	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450431	Level 5	0.0-1.4-1.5-1.5-0.1	0.0E+00	1.1E-01	6.1E-01	2.3E-01	4.7E-02	7.8E-01
SRR5450432	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450432	Level 5	0.0-1.5-1.5-1.4-0.2	0.0E+00	1.2E-01	6.0E-01	2.1E-01	5.9E-02	7.8E-01
SRR5450434	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450434	Level 5	0.0-1.3-1.6-1.5-0.2	0.0E+00	1.1E-01	6.1E-01	2.3E-01	5.4E-02	8.5E-01
SRR5450438	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450438	Level 5	0.0-1.4-1.6-1.2-0.2	0.0E+00	1.2E-01	6.3E-01	1.9E-01	6.3E-02	8.1E-01
SRR5450631	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450631	Level 5	0.0-1.4-1.6-1.4-0.1	0.0E+00	1.2E-01	6.1E-01	2.3E-01	4.7E-02	8.3E-01
SRR5450747	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450747	Level 4	0.0-1.5-1.6-1.3-0.2	8.9E-05	1.2E-01	6.2E-01	2.0E-01	6.3E-02	1.6E+00
SRR5450755	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450755	Level 5	0.0-1.5-1.5-1.5-0.1	0.0E+00	1.2E-01	6.0E-01	2.3E-01	4.9E-02	8.1E-01
SRR5450756	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450756	Level 5	0.0-1.0-1.3-2.1-0.2	0.0E+00	8.4E-02	5.1E-01	3.3E-01	7.5E-02	3.6E-01
SRR5450757	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450757	Level 5	0.0-1.1-1.3-2.1-0.2	0.0E+00	9.2E-02	5.2E-01	3.3E-01	5.6E-02	4.8E-01
SRR5450758	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450758	Level 5	0.0-1.2-1.4-1.9-0.1	0.0E+00	9.9E-02	5.7E-01	3.0E-01	3.6E-02	5.5E-01
SRR5450759	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450759	Level 5	0.0-1.2-1.4-1.9-0.2	0.0E+00	1.0E-01	5.4E-01	3.0E-01	5.3E-02	3.2E-01
SRR5450830	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5450830	Level 5	0.0-0.8-1.6-1.6-0.2	0.0E+00	6.6E-02	6.2E-01	2.5E-01	6.3E-02	1.1E+00
SRR5471030	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5471030	Level 4	0.0-1.7-1.5-1.3-0.2	2.3E-04	1.4E-01	5.9E-01	2.0E-01	6.3E-02	1.5E+00
SRR5471031	natural_permafrost	natural_permafrost	USAAlaskaArcticpermafrostsoil	SRR5471031	Level 4	0.0-1.5-1.6-1.3-0.2	3.8E-05	1.2E-01	6.1E-01	2.1E-01	6.2E-02	1.4E+00
